date,volume,close
2021-12-01,23.154,1.111
2021-12-02,36.473,1.1
2021-12-03,25.868,0.984
2021-12-04,23.416,0.88
2021-12-05,19.821,0.846
2021-12-06,34.407,0.854
2021-12-07,13.8,1.05
2021-12-08,19.254,1.06
2021-12-09,9.46,0.867
2021-12-10,12.327,0.94
2021-12-11,16.659,0.826
2021-12-12,12.658,0.97
2021-12-13,12.878,0.796
2021-12-14,15.872,0.85
2021-12-15,17.512,0.775
2021-12-16,13.395,0.715
2021-12-17,21.977,0.83
2021-12-18,17.709,0.815
2021-12-19,16.913,0.85
2021-12-20,27.228,0.95
2021-12-21,22.84,0.827
2021-12-22,7.491,0.9
2021-12-23,14.964,0.679
2021-12-24,15.35,0.75
2021-12-25,13.013,0.714
2021-12-26,11.397,0.88
2021-12-27,120.012,1.0
2021-12-28,26.769,0.525
2021-12-29,25.858,1.0
2021-12-30,28.982,0.017
2021-12-31,243.5,1.512
2022-01-01,178.11,1.85
2022-01-02,172.578,1.8
2022-01-03,98.937,1.69
2022-01-04,60.798,1.55
2022-01-05,78.916,1.6
2022-01-06,291.19,1.45
2022-01-07,51.734,1.19
2022-01-08,81.53,1.6
2022-01-09,137.591,1.87
2022-01-10,108.065,1.65
2022-01-11,33.041,1.5
2022-01-12,77.421,1.79
2022-01-13,153.913,1.9
2022-01-14,94.723,1.467
2022-01-15,182.186,2.28
2022-01-16,178.673,2.0
2022-01-17,65.968,1.655
2022-01-18,75.236,1.287
2022-01-19,49.386,1.73
2022-01-20,46.934,1.6
2022-01-21,79.638,1.79
2022-01-22,81.927,1.9
2022-01-23,52.214,1.89
2022-01-24,49.595,1.99
2022-01-25,62.923,1.75
2022-01-26,48.455,1.65
2022-01-27,63.75,1.989
2022-01-28,57.289,1.79
2022-01-29,67.524,1.8
2022-01-30,62.288,1.88
2022-01-31,52.994,1.667
2022-02-01,78.378,1.675
2022-02-02,91.094,1.4
2022-02-03,44.944,1.5
2022-02-04,37.722,1.45
2022-02-05,35.42,1.35
2022-02-06,44.484,1.255
2022-02-07,51.318,1.43
2022-02-08,66.914,1.488
2022-02-09,27.701,1.49
2022-02-10,35.158,1.134
2022-02-11,34.282,1.375
2022-02-12,38.171,1.45
2022-02-13,29.692,1.5
2022-02-14,29.623,1.49
2022-02-15,38.351,1.25
2022-02-16,32.582,1.25
2022-02-17,28.364,1.4
2022-02-18,51.767,1.399
2022-02-19,33.27,1.4
2022-02-20,27.827,1.6
2022-02-21,27.787,1.112
2022-02-22,21.847,1.29
2022-02-23,24.232,1.44
2022-02-24,34.554,1.29
2022-02-25,23.476,1.29
2022-02-26,26.324,1.339
2022-02-27,29.391,1.061
2022-02-28,15.166,1.197
2022-03-01,10.211,1.25
2022-03-02,9.24,1.061
2022-03-03,25.208,1.24
2022-03-04,30.972,0.99
2022-03-05,24.347,1.04
2022-03-06,9.965,1.15
2022-03-07,16.613,1.05
2022-03-08,20.374,0.75
2022-03-09,10.347,1.0
2022-03-10,7.41,0.95
2022-03-11,17.649,1.09
2022-03-12,17.0,1.08
2022-03-13,12.199,0.964
2022-03-14,18.018,1.026
2022-03-15,14.092,0.865
2022-03-16,7.868,1.1
2022-03-17,41.578,1.2
2022-03-18,8.764,0.959
2022-03-19,15.197,1.1
2022-03-20,11.628,0.944
2022-03-21,18.625,1.0
2022-03-22,26.68,1.035
2022-03-23,19.234,1.15
2022-03-24,13.724,0.965
2022-03-25,25.014,1.17
2022-03-26,14.71,1.05
2022-03-27,10.549,1.05
2022-03-28,9.255,1.03
2022-03-29,8.608,0.95
2022-03-30,8.102,0.987
2022-03-31,22.198,0.827
2022-04-01,8.774,0.794
2022-04-02,12.619,0.79
2022-04-03,16.915,0.84
2022-04-04,30.481,0.98
2022-04-05,38.721,0.95
2022-04-06,16.582,1.1
2022-04-07,9.628,0.9
2022-04-08,10.353,0.85
2022-04-09,8.867,0.762
2022-04-10,12.733,0.767
2022-04-11,6.213,0.731
2022-04-12,27.32,0.9
2022-04-13,13.765,0.8
2022-04-14,10.455,0.879
2022-04-15,9.5859,0.876
2022-04-16,15.73911,0.79
2022-04-17,19.9584,0.7105
2022-04-18,3.8508,0.7
2022-04-19,6.6079,0.788
2022-04-20,27.126784,0.79
2022-04-21,32.677799,0.77
2022-04-22,16.3995,0.645
2022-04-23,21.7823,0.59
2022-04-24,10.1773,0.53
2022-04-25,19.731607,0.59
2022-04-26,9.933,0.6
2022-04-27,8.845607,0.6414
2022-04-28,30.741402,0.46
2022-04-29,11.3284,0.3883
2022-04-30,7.2991,0.46
2022-05-01,7.463,0.45
2022-05-02,8.31075,0.39375
2022-05-03,14.632659,0.44
2022-05-04,13.2901,0.34
2022-05-05,5.308,0.39
2022-05-06,11.3,0.39
2022-05-07,4.02,0.358
2022-05-08,4.237794,0.359594
2022-05-09,12.658079,0.395
2022-05-10,20.762,0.49
2022-05-11,2.075,0.43
2022-05-12,5.677,0.372
2022-05-13,5.992,0.39
2022-05-14,9.40059,0.41
2022-05-15,5.3,0.36
2022-05-16,3.974,0.395
